"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g12570" 491 437 427 498 492 524 584 489 430 540 134 498
"Afu1g12580" 193 173 168 190 185 225 298 215 165 55 25 76
"Afu1g12590" 1410 1281 1194 920 1020 1116 1283 1467 1201 379 314 298
"Afu1g12600" 78 65 54 141 135 141 112 83 60 53 19 37
"Afu1g12610" 7423 6098 6147 4260 4286 4655 6916 7276 7158 4618 16286 3456
"Afu1g12620" 753 1202 1345 6697 5610 8242 1306 2503 1681 680 1398 943
"Afu1g12630" 644 626 504 1172 1173 1152 1261 744 642 373 131 264
"Afu1g12640" 229 227 227 248 282 265 307 243 260 1268 2407 1228
"Afu1g12650" 735 630 499 470 485 434 921 713 660 1345 476 1239
"Afu1g12660" 1750 1542 1509 3492 3415 3533 2326 2400 1822 9254 9416 9771
"Afu1g12670" 340 345 301 310 314 295 483 397 312 408 159 336
"Afu1g12680" 1090 951 884 1251 1613 1552 1353 1127 964 554 187 424
"Afu1g12690" 405 281 289 8114 8089 8507 461 305 239 4200 1210 3177
"Afu1g12700" 900 764 721 1022 1133 1219 998 926 746 735 471 664
"Afu1g12710" 14 13 10 22 19 15 27 18 15 12 16 14
"Afu1g12720" 338 294 221 359 328 369 389 319 249 525 264 486
"Afu1g12730" 1209 1132 1007 976 1014 1050 1185 1230 921 660 495 646
"Afu1g12740" 982 817 831 806 795 860 1250 994 775 573 247 481
"Afu1g12750" 508 480 421 445 436 456 673 585 498 261 89 209
"Afu1g12760" 1513 1228 1116 1188 1243 1275 1546 1426 1174 1642 1185 1661
"Afu1g12770" 2144 1530 1547 1389 1841 1940 1891 2126 1652 4226 4991 4185
"Afu1g12780" 404 465 336 521 549 587 492 480 390 579 661 640
"Afu1g12790" 957 785 751 997 1015 1091 1170 1162 845 720 281 640
"Afu1g12800" 3907 3324 3050 3873 4110 4172 3760 3976 3239 1340 793 1099
"Afu1g12810" 298 281 228 395 357 365 411 312 263 626 308 589
"Afu1g12820" 195 157 153 302 262 274 337 233 205 134 52 98
"Afu1g12830" 29610 24193 22640 18511 18657 21408 39220 40183 31033 11991 7775 10665
"Afu1g12840" 57017 42172 42336 30145 35998 37115 62876 70797 52625 18643 10729 15705
"Afu1g12850" 7926 6212 5186 5045 5304 5510 11707 10185 7411 478 121 332
"Afu1g12860" 43 30 22 27 24 22 67 37 26 0 1 0
"Afu1g12870" 480 459 338 825 848 949 744 510 428 534 124 530
"Afu1g12875" 249 163 185 178 160 200 258 228 192 84 16 85
"Afu1g12880" 57 63 39 87 93 83 176 93 77 35 7 25
"Afu1g12890" 14954 13507 12797 6645 6850 7626 10725 12860 10648 2461 749 1980
"Afu1g12900" 4338 3008 3053 1348 1843 1458 2913 2678 2226 5191 4865 4778
"Afu1g12910" 789 563 565 777 911 834 1033 728 653 647 150 628
"Afu1g12920" 2011 1566 1657 3069 3484 3554 2508 1847 1451 1213 145 996
"Afu1g12930" 1366 1142 1145 1013 1159 1267 1436 1310 1122 1075 394 939
"Afu1g12940" 2331 2085 1984 2120 2301 2403 2613 2079 1732 1983 523 1784
"Afu1g12950" 722 636 605 822 951 950 818 752 525 514 219 481
"Afu1g12960" 3175 2096 2098 2405 2723 2861 3842 3629 2836 11393 13610 10548
"Afu1g12970" 191 168 147 397 315 349 326 244 199 1351 1054 1375
"Afu1g12980" 257 231 229 355 416 406 449 301 251 480 405 369
"Afu1g12990" 438 405 432 473 444 472 629 420 398 408 171 340
"Afu1g13000" 58 47 43 163 131 162 111 84 67 104 69 135
"Afu1g13010" 585 556 411 854 992 956 810 904 704 1142 627 1145
"Afu1g13020" 681 558 534 660 578 632 740 676 571 557 188 494
"Afu1g13030" 45 51 34 79 64 77 64 34 19 29 19 18
"Afu1g13040" 191 128 97 272 201 235 214 165 95 304 123 276
"Afu1g13050" 6939 3767 3435 1094 1260 1228 2853 2411 2059 3209 7153 3341
"Afu1g13060" 1211 1098 982 1395 1704 1657 1788 1611 1220 1997 1755 1843
"Afu1g13070" 426 529 451 484 504 659 601 591 488 246 186 209
"Afu1g13080" 7 7 4 6 5 4 21 17 9 0 3 2
"Afu1g13090" 3667 3400 3275 3541 3576 4033 5251 4629 4017 4344 3799 4105
"Afu1g13100" 1816 1550 1359 1437 1642 1701 1739 1650 1306 1799 1589 1706
"Afu1g13110" 97 71 66 92 90 100 285 154 125 83 51 75
"Afu1g13120" 63 46 27 60 63 48 148 105 80 210 181 203
"Afu1g13130" 451 318 256 405 475 462 466 439 333 1036 628 913
"Afu1g13140" 3119 3187 3259 3873 4974 5426 5088 4334 3537 1581 1593 1358
"Afu1g13150" 216 190 144 524 507 531 321 232 213 75 28 56
"Afu1g13160" 510 474 462 960 1038 1113 723 695 568 1153 991 1167
"Afu1g13170" 307 221 262 360 523 430 242 259 188 213 151 131
"Afu1g13180" 358 365 302 206 250 242 428 423 304 152 374 162
"Afu1g13190" 452 433 388 659 666 672 876 583 452 191 100 149
"Afu1g13195" 1330 1190 1065 1076 1212 1225 1574 1426 1154 310 172 259
"Afu1g13200" 750 780 696 732 884 1020 710 782 666 376 412 361
"Afu1g13210" 557 364 359 2369 2423 2308 892 1392 830 529 37 263
"Afu1g13220" 697 491 518 1230 1423 1308 536 602 403 670 462 605
"Afu1g13230" 232 158 154 5067 3750 4961 278 459 327 5443 4788 5328
"Afu1g13240" 149 131 83 222 218 239 165 132 107 174 197 168
"Afu1g13250" 4748 4180 4046 1060 1519 1343 2156 1864 2024 493 196 478
"Afu1g13260" 1311 1162 1094 1136 1286 1431 1388 1220 1069 591 251 471
"Afu1g13270" 198 193 166 355 355 419 366 201 205 84 35 78
"Afu1g13280" 1397 1249 1165 973 938 1042 1433 1153 1020 856 333 744
"Afu1g13290" 367 374 269 461 475 474 499 440 330 387 676 273
"Afu1g13300" 1287 1349 1325 1896 2026 2204 1202 1218 938 2589 3280 2595
"Afu1g13310" 999 853 874 1714 1905 1948 1641 1447 1157 2593 3583 2432
"Afu1g13320" 1022 935 1011 2258 2366 3011 738 781 775 4421 4971 5556
"Afu1g13330" 2105 1662 1650 1936 1993 2170 2002 1976 1657 2588 1274 2570
"Afu1g13340" 1244 1203 1051 1450 1990 1699 2283 1153 981 3702 2609 3824
"Afu1g13350" 543 588 516 528 773 682 664 549 403 1846 1598 1513
"Afu1g13360" 98 97 99 193 160 209 153 138 109 106 87 86
"Afu1g13370" 266 217 222 491 415 526 530 676 487 614 348 563
"Afu1g13380" 260 208 194 451 385 381 452 325 291 132 51 115
"Afu1g13390" 764 638 596 584 760 786 790 800 638 300 126 250
"Afu1g13400" 7733 4205 4434 971 1506 1499 2614 2976 2526 3337 8845 3445
"Afu1g13410" 2213 1145 1002 132 171 120 768 644 512 108 184 88
"Afu1g13420" 1116 872 731 1064 954 887 1324 1021 812 2199 1116 1991
"Afu1g13430" 1861 1226 1172 1033 1096 1152 1271 1086 981 1423 1290 1387
"Afu1g13440" 209 176 143 290 324 380 410 226 204 225 720 173
"Afu1g13450" 2464 1872 1915 3010 3256 3613 3299 3212 2328 578 180 416
"Afu1g13460" 210 179 193 186 144 154 219 165 129 183 85 191
"Afu1g13470" 2701 2476 2358 2684 3038 3372 2577 2658 2201 2732 1554 2913
"Afu1g13480" 4113 3449 3507 2093 2231 2444 4052 4469 3713 858 768 1010
"Afu1g13490" 6319 5242 5129 4082 3685 4075 6065 6003 5424 1495 610 1126
"Afu1g13500" 15590 12145 11890 12935 13640 14905 11654 10717 9829 15030 6113 15330
"Afu1g13510" 2053 1643 1602 298 386 401 2191 2183 1781 233 213 191
"Afu1g13520" 376 397 368 444 425 486 521 427 383 421 453 333
"Afu1g13530" 101 86 68 72 79 58 146 126 102 610 307 725
"Afu1g13540" 614 529 492 709 673 812 615 672 559 408 191 433
"Afu1g13550" 1976 1549 1388 708 963 1037 1211 1361 1137 4115 4444 3432
"Afu1g13560" 48 55 52 53 72 61 82 48 43 90 65 65
"Afu1g13570" 1729 1778 1621 1279 1383 1677 1859 2058 1714 525 378 388
"Afu1g13580" 846 703 608 654 738 731 921 894 718 374 184 269
"Afu1g13590" 2172 1513 1580 1593 1803 1691 2246 2280 1770 2492 1425 2334
"Afu1g13600" 260 242 202 280 317 304 379 338 286 337 108 261
"Afu1g13610" 1811 1309 1366 1846 2389 2321 1209 1632 1155 133 80 90
"Afu1g13620" 522 503 431 564 632 551 723 673 439 782 502 740
"Afu1g13630" 157 227 188 268 292 260 356 253 199 207 85 179
"Afu1g13640" 2 2 4 3 5 6 8 4 6 6 4 2
"Afu1g13650" 5 11 6 6 4 2 12 4 6 6 7 6
"Afu1g13660" 1146 1248 1362 190 255 253 1870 3732 2554 123 45 117
"Afu1g13670" 516 470 548 196 195 165 495 605 465 133 76 167
"Afu1g13680" 22 26 16 20 11 17 29 18 17 10 19 4
"Afu1g13690" 1287 971 870 885 1078 1013 1222 1149 880 2095 1003 2020
"Afu1g13700" 784 628 558 661 655 668 932 805 595 857 542 809
"Afu1g13710" 3955 3278 3228 4079 3630 4098 4826 5249 4007 2012 1754 1617
"Afu1g13720" 1450 1193 1144 1697 1761 1822 2041 1684 1386 1462 722 1184
"Afu1g13730" 989 921 785 1298 1286 1506 1352 1135 885 1866 1625 2190
"Afu1g13740" 3879 3410 3252 6000 6959 7507 3925 4628 3598 8337 7401 7459
"Afu1g13750" 40085 22783 20603 2086 3722 4601 14746 14443 13969 5203 20169 4758
"Afu1g13760" 741 612 643 1009 953 948 940 914 723 707 441 626
"Afu1g13770" 52 71 50 108 94 91 110 62 65 60 29 42
"Afu1g13780" 21466 18125 16894 11177 16455 15508 17836 19964 16201 6373 13967 7570
"Afu1g13790" 26680 22657 21643 23284 26101 28558 22335 23924 20643 15699 20875 15174
"Afu1g13800" 573 611 631 2145 2538 2901 416 503 381 5146 5471 4907
"Afu1g13810" 7 6 6 18 23 20 6 7 5 12 15 7
"Afu1g13820" 24 6 11 440 507 564 14 18 11 771 505 680
"Afu1g13822" 74 42 69 343 309 412 117 100 78 461 421 402
"Afu1g13825" 0 2 0 0 0 2 0 0 0 0 0 1
"Afu1g13830" 33 29 37 221 228 228 34 28 20 408 480 305
"Afu1g13840" 244 263 227 446 467 493 370 330 291 190 142 249
"Afu1g13850" 293 266 214 323 364 342 513 370 289 1215 1388 1131
"Afu1g13860" 49 29 18 100 81 98 72 48 31 25 4 12
"Afu1g13870" 233 207 159 320 321 333 331 271 223 65 37 41
"Afu1g13880" 485 508 417 482 503 657 620 560 434 258 265 258
"Afu1g13890" 700 671 535 762 714 780 899 809 616 905 649 858
"Afu1g13900" 1927 1951 1691 1077 1340 1506 1889 2184 1682 396 343 223
"Afu1g13910" 377 390 341 941 785 1017 681 604 440 5319 4674 5056
"Afu1g13920" 998 932 778 1598 1782 1972 1254 981 898 2168 957 2324
"Afu1g13930" 878 711 626 637 649 685 820 690 568 739 206 718
"Afu1g13940" 917 633 535 2785 2735 2968 405 718 415 206 186 160
"Afu1g13950" 42 43 34 85 84 107 85 49 42 93 51 94
"Afu1g13960" 441 374 315 421 420 386 424 379 304 572 232 658
"Afu1g13970" 2484 1758 1744 1868 2288 2099 1868 1627 1294 1339 1316 1298
"Afu1g13980" 2302 1573 1523 1572 1802 1800 2852 2332 1943 705 308 464
"Afu1g13990" 7426 5993 5907 6260 7487 7203 8465 6493 5746 1578 747 1212
"Afu1g14000" 154 83 74 51 49 46 123 99 108 46 40 33
"Afu1g14010" 457 382 355 840 829 944 918 607 493 1147 440 1151
"Afu1g14020" 1138 1066 952 1564 1387 1495 1747 1390 1179 1336 692 1110
"Afu1g14030" 439 415 349 956 975 1065 744 490 405 647 196 613
"Afu1g14040" 21 30 20 34 26 31 47 31 27 33 11 26
"Afu1g14050" 192 271 235 218 343 373 257 309 257 480 1235 665
"Afu1g14060" 457 449 327 538 525 582 453 360 344 898 915 1000
"Afu1g14070" 759 571 560 715 710 732 1002 809 558 916 704 1026
"Afu1g14080" 264 168 149 385 376 325 422 286 220 41 20 35
"Afu1g14090" 2306 1914 1805 2855 2770 3163 2287 2628 2088 2289 1211 2382
"Afu1g14100" 994 926 874 1196 1222 1403 1301 1161 955 1299 892 1310
"Afu1g14110" 1154 958 891 954 1035 1246 1326 1206 974 677 570 582
"Afu1g14120" 2686 2403 2383 1732 1904 2179 2449 2716 2238 254 122 214
"Afu1g14130" 33 32 28 49 53 50 34 23 35 15 10 8
"Afu1g14140" 34 39 38 25 33 32 48 20 17 25 15 32
"Afu1g14150" 1054 870 923 1013 1150 1339 1296 1037 1000 1255 1038 1280
"Afu1g14160" 182 200 169 216 202 220 186 181 138 227 119 244
"Afu1g14170" 678 439 453 228 237 292 405 351 272 62 25 37
"Afu1g14180" 1469 1351 1209 1100 1143 1156 1457 1571 1278 303 236 276
"Afu1g14190" 45 59 32 30 34 34 78 67 94 21 19 8
"Afu1g14200" 13702 11841 11461 2449 2797 2983 12019 13344 11188 1484 1132 1251
"Afu1g14210" 49 44 37 107 101 112 68 56 48 31 6 16
"Afu1g14220" 2844 2701 2453 2023 2040 2527 2831 2989 2471 753 651 621
"Afu1g14230" 7 8 8 128 204 293 10 6 7 41 344 41
"Afu1g14240" 656 602 453 1114 1115 1049 948 797 507 938 322 776
"Afu1g14250" 160 170 132 251 217 249 368 193 173 265 140 248
"Afu1g14260" 575 460 429 614 626 590 797 633 461 583 219 460
"Afu1g14270" 260 266 224 425 417 449 405 284 250 258 100 311
"Afu1g14280" 1957 1967 1964 1852 2434 2639 1463 1757 1430 1424 1434 1473
"Afu1g14290" 898 804 669 1024 1044 1067 1057 800 653 507 552 441
"Afu1g14300" 2740 2490 2443 1526 2108 1729 4052 2747 2529 4542 7954 3481
"Afu1g14310" 723 531 525 990 1013 1041 1187 878 666 1014 450 876
"Afu1g14320" 800 695 635 884 853 975 1030 897 700 1176 632 1099
"Afu1g14330" 5317 4830 4753 6797 8983 8707 9399 7673 5631 1857 995 1807
"Afu1g14340" 1413 1470 1460 2435 3205 3055 2063 1675 1406 1262 419 1006
"Afu1g14350" 407 352 331 277 273 279 517 469 386 228 115 213
"Afu1g14360" 152 138 93 69 122 113 248 177 141 55 14 39
"Afu1g14380" 139 99 108 121 86 109 220 144 145 43 19 34
"Afu1g14390" 77 57 50 107 117 117 83 65 50 90 16 57
"Afu1g14400" 222 213 176 204 174 210 336 234 225 58 22 37
"Afu1g14410" 10097 8922 8256 4290 4270 4619 8246 9397 7429 1338 540 988
"Afu1g14420" 996 782 847 1952 2091 2286 1410 1449 1153 2340 1067 2610
"Afu1g14430" 92 70 70 325 475 404 118 82 70 147 146 126
"Afu1g14440" 930 669 595 1866 2166 2192 834 752 783 589 254 589
"Afu1g14450" 172 156 134 302 374 324 279 212 151 111 103 68
"Afu1g14460" 120 107 89 143 219 221 187 111 134 95 53 110
"Afu1g14480" 88 212 171 34 46 33 264 171 134 78 298 79
"Afu1g14490" 840 796 794 509 548 611 795 671 701 550 458 576
"Afu1g14500" 6003 4295 4332 1711 2128 2448 4237 3875 3608 1276 766 947
"Afu1g14510" 489 468 425 390 508 495 623 541 474 229 195 171
"Afu1g14520" 46 29 29 38 30 60 36 37 24 6 20 11
"Afu1g14530" 128 81 75 62 68 57 84 80 73 19 4 17
"Afu1g14540" 860 687 826 60 73 67 188 386 228 39 20 33
"Afu1g14550" 7375 6736 8313 88 102 79 732 3431 1983 105 93 104
"Afu1g14560" 1784 1384 1357 682 823 739 656 779 550 193 117 158
"Afu1g14570" 2243 1937 1929 1860 1782 1956 2013 2235 1806 623 369 481
"Afu1g14580" 404 365 304 381 402 503 349 363 315 142 115 135
"Afu1g14590" 313 265 265 335 361 385 272 278 230 180 112 213
"Afu1g14600" 195 176 141 193 199 222 214 144 153 128 66 129
"Afu1g14610" 3730 1951 2164 2393 2804 2799 2727 2988 2062 3766 4392 3395
"Afu1g14620" 1779 1239 1307 1404 1639 1685 1904 1782 1436 2106 1717 2028
"Afu1g14630" 183 151 175 153 135 208 282 264 189 101 58 99
"Afu1g14640" 372 369 303 426 466 594 318 369 354 289 318 268
"Afu1g14650" 569 628 595 487 494 565 444 517 457 83 47 88
"Afu1g14660" 728 651 556 1200 1451 1582 911 928 694 812 540 811
"Afu1g14670" 432 358 325 456 431 433 727 556 487 471 330 470
"Afu1g14680" 4461 3626 3592 3184 4782 4382 4833 4794 3595 9431 13255 9233
"Afu1g14690" 1120 827 780 1208 1247 1080 1336 1270 901 2285 1310 1942
"Afu1g14695" 71 59 63 231 203 252 209 113 84 74 10 51
"Afu1g14700" 93 94 86 183 148 141 223 130 82 207 106 147
"Afu1g14710" 483 319 340 1124 1014 1099 546 439 377 692 157 644
"Afu1g14720" 473 422 384 754 765 892 661 667 542 1351 948 1326
"Afu1g14730" 2439 1953 1791 1285 1509 1517 2665 2217 1717 661 1761 640
"Afu1g14740" 1231 916 945 987 1173 1229 1346 1190 984 1550 1397 1615
"Afu1g14750" 1652 1393 1370 2770 3096 3278 2227 1865 1601 3267 2508 3684
"Afu1g14760" 10 15 12 30 30 35 18 13 13 10 7 12
"Afu1g14770" 523 478 422 415 417 497 635 589 517 216 175 194
"Afu1g14780" 3139 2768 2645 4121 4044 4343 3935 3564 3121 12487 10097 13066
"Afu1g14790" 525 595 436 1217 1124 1175 869 713 611 1430 1319 1235
"Afu1g14800" 2080 1761 1562 590 928 781 7580 1312 1887 90 46 101
"Afu1g14810" 1395 1237 1025 988 1711 1592 1823 1428 1215 376 134 262
"Afu1g14820" 99 81 78 41 98 68 150 120 107 28 12 15
"Afu1g14830" 1423 1140 1131 1717 2014 1895 3415 2043 1801 2963 4958 3293
"Afu1g14840" 71 81 69 118 114 159 185 126 99 51 134 39
"Afu1g14850" 1269 1011 946 973 940 969 1573 1190 1061 881 208 868
"Afu1g14860" 83 59 66 365 380 437 157 114 91 129 133 118
"Afu1g14870" 162 187 144 161 156 180 250 183 125 84 37 77
"Afu1g14880" 183 155 147 213 252 225 215 168 186 151 48 126
"Afu1g14890" 199 179 171 542 549 559 427 258 217 344 153 298
"Afu1g14895" 19 23 19 29 20 20 34 14 28 13 7 14
"Afu1g14910" 2875 2020 1949 1775 2109 2103 2989 2772 2283 5120 7255 4689
"Afu1g14920" 1108 973 923 1095 1091 1112 1887 1351 1060 1610 2496 1504
"Afu1g14930" 20770 16345 16718 12009 17468 19645 14052 14142 12115 21895 30852 26146
"Afu1g14940" 1883 1479 1293 1856 1900 1918 1968 1820 1509 1427 513 1269
"Afu1g14945" 202 195 155 794 806 891 354 239 237 479 266 462
"Afu1g14950" 809 718 666 753 736 822 1027 992 817 439 487 510
"Afu1g14960" 1681 1552 1468 947 1052 1107 2097 1543 1522 439 342 359
"Afu1g14970" 145 175 148 284 262 320 258 244 169 61 41 67
"Afu1g14980" 70 67 52 212 225 224 194 126 95 219 155 226
"Afu1g14990" 742 772 616 574 624 771 738 820 675 227 194 201
"Afu1g15000" 2077 1839 1787 3857 3818 4801 2596 3393 2692 4567 2685 4335
"Afu1g15010" 1500 1131 1175 1393 1655 1637 1629 1570 1235 2341 1265 2077
"Afu1g15020" 16733 14842 13876 7267 7377 8158 17957 17796 14790 2845 1218 2299
"Afu1g15030" 746 806 708 639 641 778 779 739 626 148 155 140
"Afu1g15040" 182 148 146 302 289 275 292 217 146 297 175 233
"Afu1g15050" 1037 677 668 794 779 751 1287 1127 875 687 420 539
"Afu1g15070" 602 527 521 920 883 1012 1024 785 652 597 295 523
"Afu1g15080" 453 396 422 602 671 592 769 520 427 724 674 714
"Afu1g15090" 523 370 358 750 708 742 653 554 419 938 400 856
"Afu1g15100" 87 113 87 81 93 101 178 102 98 41 22 32
"Afu1g15110" 713 518 481 711 1026 852 821 668 498 1872 1472 1767
"Afu1g15120" 238 181 170 497 496 564 520 453 288 373 199 419
"Afu1g15130" 818 725 624 898 946 972 929 690 589 1079 454 992
"Afu1g15140" 12941 11927 11337 10511 12082 13985 14413 15784 12391 1468 4073 1666
"Afu1g15150" 278 288 246 695 853 1078 376 407 274 119 338 118
"Afu1g15160" 2683 2240 2680 7702 7695 8656 3178 2824 2315 28219 54651 30599
"Afu1g15170" 119 89 109 122 119 124 185 134 120 52 62 32
"Afu1g15180" 594 593 447 112 116 137 863 494 441 55 36 47
"Afu1g15190" 5 2 6 4 5 3 9 2 5 5 0 5
"Afu1g15200" 2554 2125 2251 3136 3605 4017 3403 3252 2696 2523 1323 2417
"Afu1g15210" 219 174 139 200 161 203 292 283 219 54 23 48
"Afu1g15220" 375 327 335 300 383 400 410 435 429 182 175 189
"Afu1g15230" 1558 1423 1582 1258 1607 1854 2133 2429 1803 470 538 379
"Afu1g15240" 528 455 415 420 533 496 640 565 504 278 99 292
"Afu1g15250" 836 750 642 703 799 728 1038 769 645 1008 457 927
"Afu1g15260" 2675 2280 2301 3775 3973 3923 3184 2441 2091 297 111 215
"Afu1g15270" 24598 20326 19185 3600 5132 4839 11426 14251 13639 25798 111698 21976
"Afu1g15280" 105 99 76 195 169 197 114 92 103 94 34 98
"Afu1g15290" 37 37 26 29 29 51 36 32 39 11 4 10
"Afu1g15300" 148 145 118 292 333 327 323 275 163 46 30 30
"Afu1g15310" 711 588 509 632 878 818 873 816 586 428 167 400
"Afu1g15330" 85 56 42 48 42 40 107 60 73 15 7 13
"Afu1g15340" 1367 945 938 978 1236 1346 1410 1217 1079 2128 2582 2134
"Afu1g15350" 489 407 406 513 613 568 810 827 603 499 380 459
"Afu1g15360" 200 168 140 417 419 469 192 199 158 325 266 339
"Afu1g15370" 834 735 760 1074 1392 1438 1173 950 726 1440 1321 1366
"Afu1g15380" 938 670 656 490 539 536 1162 751 605 133 190 86
"Afu1g15390" 676 622 546 1155 1070 1201 991 738 720 2268 1660 2363
"Afu1g15400" 390 324 352 648 587 629 560 416 311 1081 590 1162
"Afu1g15410" 80 46 46 33 42 35 97 71 77 86 61 87
"Afu1g15420" 67 39 33 40 43 38 60 58 47 71 37 85
"Afu1g15430" 527 655 703 645 704 841 883 1045 795 295 145 433
"Afu1g15440" 5082 4680 4639 1390 2072 1776 6034 5333 4661 1511 7043 1390
"Afu1g15450" 3334 2850 2743 3578 3587 4039 2988 3503 2966 2839 3323 2747
"Afu1g15460" 2837 2049 2105 1582 2422 1764 1679 1392 1212 988 643 753
"Afu1g15470" 669 487 461 537 567 509 570 440 382 230 254 190
"Afu1g15490" 3426 2132 1870 579 749 588 1488 946 986 293 161 232
"Afu1g15500" 545 508 391 647 552 627 623 482 422 352 445 319
"Afu1g15510" 115 149 130 317 292 285 269 175 147 708 384 583
"Afu1g15520" 115 93 86 470 431 452 158 163 123 91 103 49
"Afu1g15530" 54 39 34 288 247 281 78 81 78 128 42 123
"Afu1g15540" 168 138 123 503 493 607 89 165 123 548 417 624
"Afu1g15550" 1404 1005 997 14861 15607 16253 1307 1676 1164 9241 2814 10784
"Afu1g15560" 1247 721 660 194 231 171 886 845 703 225 192 252
"Afu1g15570" 592 439 377 403 460 466 727 643 515 802 521 821
"Afu1g15580" 298 262 203 262 211 281 309 279 217 176 59 159
"Afu1g15590" 4117 3638 3477 537 595 591 5604 5406 4299 289 107 218
"Afu1g15610" 218 358 240 130 118 106 474 296 289 76 259 71
"Afu1g15620" 1008 1066 982 832 978 1329 938 997 870 239 316 247
"Afu1g15630" 71 69 60 74 62 71 89 85 65 29 32 28
"Afu1g15640" 1004 984 862 479 631 472 1484 1203 995 2287 2065 2015
"Afu1g15650" 6 4 8 13 9 11 11 12 8 11 3 7
"Afu1g15660" 33 17 29 36 17 42 31 21 22 5 2 5
"Afu1g15670" 810 915 615 485 528 627 1244 679 774 216 184 171
"Afu1g15680" 152 97 72 130 126 147 172 145 117 29 24 14
"Afu1g15690" 17 37 24 54 61 62 33 42 36 31 25 31
"Afu1g15700" 328 337 264 396 477 483 577 449 384 91 56 66
"Afu1g15710" 354 287 247 409 383 384 549 427 336 157 104 129
"Afu1g15720" 3046 2426 2258 3057 3783 4080 3465 3086 2688 2252 1359 2201
"Afu1g15730" 10074 9653 8852 3956 4164 4719 8667 10065 8547 1245 548 986
"Afu1g15740" 110 104 76 119 97 97 98 81 91 19 15 14
"Afu1g15750" 381 281 258 536 611 613 562 451 345 1290 1198 1030
"Afu1g15760" 1545 1208 1137 1270 1238 1151 2015 1564 1312 2219 1957 1909
"Afu1g15770" 154 155 111 222 199 227 212 169 103 132 44 123
"Afu1g15780" 1739 1361 1311 4717 4497 5037 1877 1352 1209 4693 1028 3668
"Afu1g15790" 976 988 883 1542 1610 1928 1512 1242 979 1161 609 1245
"Afu1g15800" 335 333 258 665 640 625 548 447 378 1423 745 1221
"Afu1g15810" 2906 1765 1750 1174 1485 1577 2664 2395 1985 1865 2734 2027
"Afu1g15820" 11242 9042 9758 9458 10888 12225 9442 9865 8100 14524 26088 16655
"Afu1g15830" 840 609 535 910 1049 1031 914 607 546 250 72 245
"Afu1g15840" 113 112 91 266 220 259 212 159 144 118 53 78
"Afu1g15850" 136 57 76 142 160 171 233 153 142 213 133 176
"Afu1g15860" 1931 1546 1419 1873 1638 1741 2343 2079 1668 1287 412 1205
"Afu1g15870" 1506 1218 1083 1834 2289 2161 1906 1793 1322 5038 5942 5370
"Afu1g15880" 746 665 614 1733 1645 1878 1235 927 721 1768 936 1800
"Afu1g15890" 565 447 457 1108 1100 1194 945 726 581 6259 6992 6428
"Afu1g15900" 1461 1232 1217 1762 1963 2063 1572 1420 1180 898 340 824
"Afu1g15910" 262 390 370 1516 1383 1736 1217 1209 790 450 89 371
"Afu1g15920" 637 600 493 463 437 459 743 606 542 630 504 614
"Afu1g15930" 1297 908 893 1119 1297 1127 1423 1193 910 2703 7414 2105
"Afu1g15940" 1452 1196 1209 2841 3113 3117 2034 1674 1261 2849 2082 2538
"Afu1g15950" 1179 931 1027 1534 1891 1688 1201 1235 899 1147 692 945
"Afu1g15960" 2743 2528 2590 2010 2100 2174 3677 3469 2911 2949 6493 2922
"Afu1g15966" 56 71 52 50 54 44 76 60 47 21 26 19
"Afu1g15970" 51 33 39 61 81 64 42 53 40 16 11 14
"Afu1g15980" 2 1 0 4 4 2 3 1 1 1 0 0
"Afu1g15990" 176 205 192 316 451 399 295 281 224 404 327 471
"Afu1g16000" 524 456 455 1198 1072 1238 1080 905 673 2202 2686 2233
"Afu1g16010" 88 108 76 78 101 100 167 90 100 16 12 9
"Afu1g16020" 153 156 129 153 155 182 261 150 155 57 65 47
"Afu1g16030" 2535 2072 1974 2673 3013 2867 3232 2912 2707 1712 879 1252
"Afu1g16040" 77 64 58 169 160 192 131 169 150 230 208 182
"Afu1g16050" 971 874 837 1563 1793 1821 1135 1213 1038 1986 1834 2040
"Afu1g16060" 436 364 339 905 927 1118 589 585 525 915 873 1009
"Afu1g16070" 84 71 78 124 176 165 114 123 103 65 96 64
"Afu1g16080" 24 25 20 64 72 80 23 28 22 62 61 83
"Afu1g16090" 35 26 41 41 41 51 56 44 30 85 82 104
"Afu1g16100" 8 12 5 8 7 7 18 12 5 2 2 4
"Afu1g16110" 40 39 26 85 90 78 79 45 31 43 4 33
"Afu1g16115" 59 33 35 28 39 29 103 79 64 43 20 36
"Afu1g16120" 304 271 244 520 617 620 331 327 312 296 169 222
"Afu1g16130" 1487 1198 1167 1123 1403 1420 1924 1600 1199 1330 1244 1213
"Afu1g16140" 2 7 4 18 10 9 14 13 6 4 10 8
"Afu1g16150" 373 267 284 938 1036 1087 446 405 318 418 151 362
"Afu1g16160" 136 139 119 507 456 572 262 160 138 150 74 126
"Afu1g16170" 126 128 106 200 253 292 232 159 141 213 298 218
