"control_1" "control_2" "control_3" "fe_starved_no_ox_1" "fe_starved_no_ox_2" "fe_starved_no_ox_3" "ox_stress_with_fe_1" "ox_stress_with_fe_2" "ox_stress_with_fe_3" "fe_starved_ox_stress_1" "fe_starved_ox_stress_2" "fe_starved_ox_stress_3"
"Afu1g01080" 5 2 4 4 5 8 10 3 8 8 2 5
"Afu1g01090" 11 14 13 7 10 12 16 11 15 9 2 9
"Afu1g01100" 22 19 17 138 108 124 14 31 28 356 153 344
"Afu1g01110" 0 1 0 0 0 0 0 0 0 0 0 0
"Afu1g01120" 0 2 1 2 1 2 5 2 2 1 0 0
"Afu1g01130" 22 12 6 15 10 26 6 11 7 7 2 2
"Afu1g01140" 56 52 43 80 78 84 81 78 55 49 24 37
"Afu1g01160" 36 27 29 170 152 196 55 148 72 90 29 125
"Afu1g01170" 0 0 0 0 0 0 0 1 0 0 0 0
"Afu1g01175" 0 0 0 2 0 0 1 1 0 0 0 3
"Afu1g01180" 10 5 2 38 56 44 12 12 10 15 19 11
"Afu1g01190" 17 7 7 71 65 79 39 23 32 48 48 39
"Afu1g01200" 0 0 0 1 0 1 0 0 1 0 0 0
"Afu1g01210" 1 0 0 0 2 0 0 2 0 0 0 0
"Afu1g01220" 9 5 8 0 1 0 8 4 4 4 3 0
"Afu1g01230" 53 32 26 27 18 25 27 34 12 19 6 17
"Afu1g01240" 118 98 109 204 196 220 178 125 110 56 39 44
"Afu1g01250" 40 36 32 61 49 42 54 31 26 12 8 5
"Afu1g01260" 5 1 4 3 3 2 2 2 2 0 2 0
"Afu1g01265" 0 1 2 2 2 2 4 0 4 1 1 0
"Afu1g01270" 8 9 10 11 14 14 23 18 11 27 39 19
"Afu1g01280" 0 1 0 0 0 0 1 2 1 0 3 0
"Afu1g01290" 0 0 0 0 0 1 2 0 0 1 1 1
"Afu1g01300" 16 19 22 27 43 42 30 41 20 10 61 8
"Afu1g01310" 4 1 2 3 2 3 1 1 0 2 1 0
"Afu1g01320" 0 0 0 0 0 4 0 0 0 0 0 1
"Afu1g01330" 72 46 49 177 146 159 66 81 54 91 54 78
"Afu1g01340" 76 73 69 146 219 184 113 92 82 228 104 189
"Afu1g01350" 537 635 570 521 650 651 638 578 422 1215 3426 1320
"Afu1g01360" 458 446 359 584 575 555 524 346 307 1034 1179 982
"Afu1g01370" 182 184 155 363 390 412 309 204 160 489 397 495
"Afu1g01380" 358 349 340 1062 1044 1078 677 496 384 372 224 415
"Afu1g01390" 231 181 191 197 218 188 291 173 181 161 597 110
"Afu1g01400" 38 52 54 42 59 62 61 52 45 27 140 22
"Afu1g01410" 452 320 319 214 241 249 346 254 265 142 665 118
"Afu1g01420" 3 2 2 0 2 1 1 0 0 2 2 0
"Afu1g01430" 184 126 149 198 179 200 369 233 279 303 1514 258
"Afu1g01440" 3 2 1 6 6 6 9 3 6 12 40 12
"Afu1g01450" 118 99 98 298 284 304 135 105 94 85 53 96
"Afu1g01460" 16 37 20 47 43 48 39 43 41 17 14 11
"Afu1g01480" 7 4 5 4 4 8 4 2 2 4 5 6
"Afu1g01490" 28 26 27 88 114 107 21 20 21 9 10 28
"Afu1g01500" 5 1 3 26 13 17 1 6 0 8 4 10
"Afu1g01520" 0 0 1 3 4 4 2 3 2 2 8 3
"Afu1g01530" 57 66 84 393 368 413 217 510 296 239 148 228
"Afu1g01540" 62 61 50 441 409 501 117 216 138 374 375 363
"Afu1g01550" 57 36 47 189 139 155 135 83 61 149 87 136
"Afu1g01560" 276 296 256 569 686 704 468 382 341 474 203 565
"Afu1g01570" 49 31 36 77 53 66 75 44 28 248 143 200
"Afu1g01580" 13 8 8 10 12 10 15 14 15 9 2 10
"Afu1g01590" 185 134 99 146 180 144 232 171 137 147 29 114
"Afu1g01600" 2108 1797 1772 2563 3197 2986 2484 2659 2020 18895 24129 18850
"Afu1g01610" 461 437 376 514 685 622 596 563 468 659 1344 697
"Afu1g01620" 233 122 181 160 191 158 283 317 222 290 165 222
"Afu1g01630" 187 144 150 261 271 263 223 254 185 192 51 151
"Afu1g01640" 1442 1171 1122 2115 2049 2066 1228 2247 1468 2761 1362 2861
"Afu1g01650" 79 69 54 67 86 78 59 84 48 19 7 20
"Afu1g01660" 48 52 35 33 35 40 51 74 46 15 3 4
"Afu1g01670" 26 29 18 28 22 28 43 46 29 15 5 13
"Afu1g01680" 652 522 433 803 753 815 929 1312 955 394 141 318
"Afu1g01690" 411 555 458 3467 2787 4174 1665 818 800 1298 1046 1505
"Afu1g01700" 248 222 229 323 321 380 408 202 216 142 141 154
"Afu1g01710" 5 4 0 3 2 2 9 3 2 0 3 1
"Afu1g01720" 1525 1164 1390 2002 1994 1970 2010 1590 1325 2875 2259 2472
"Afu1g01730" 138 127 147 338 316 289 222 244 177 93 95 87
"Afu1g01740" 2480 2288 2072 1845 1752 1921 2660 2744 2234 1345 536 1130
"Afu1g01750" 371 321 268 292 338 382 408 319 258 208 87 156
"Afu1g01760" 1197 1020 1084 2013 2312 2320 1388 1441 1113 944 824 976
"Afu1g01770" 341 283 301 712 605 709 433 430 318 979 1043 990
"Afu1g01780" 466 310 278 309 421 351 413 359 281 701 679 645
"Afu1g01790" 759 560 523 292 365 321 547 539 473 1170 990 952
"Afu1g01812" 556 541 490 70 50 55 1938 633 755 33 64 28
"Afu1g01820" 1 4 4 0 1 1 15 6 1 2 3 0
"Afu1g01830" 116 124 115 178 168 184 137 131 110 60 99 48
"Afu1g01850" 291 282 245 310 291 340 585 421 403 418 939 469
"Afu1g01860" 184 183 119 234 237 263 260 251 182 250 161 206
"Afu1g01870" 967 782 693 674 689 734 1107 1075 843 1007 501 918
"Afu1g01890" 65 56 51 24 22 22 220 84 60 13 10 0
"Afu1g01900" 132 114 106 291 285 373 283 270 215 222 71 261
